paper_title,author_links,author_stats
Layer-adaptive Sparsity for the Magnitude-based Pruning,"['https://www.semanticscholar.org/author/Sejun-Park/2115258625', 'https://www.semanticscholar.org/author/Sungsoo-Ahn/70560338', 'https://www.semanticscholar.org/author/Sangwoo-Mo/9962692', 'https://www.semanticscholar.org/author/Jaeho-Lee/2108806224', 'https://www.semanticscholar.org/author/Jinwoo-Shin/143720148']","[{'Publications': '30', 'h-index': '6', 'Citations': '174', 'Highly Influential Citations': '15'}, {'Publications': '22', 'h-index': '6', 'Citations': '191', 'Highly Influential Citations': '39'}, {'Publications': '11', 'h-index': '5', 'Citations': '169', 'Highly Influential Citations': '30'}, {'Publications': '2', 'h-index': '1', 'Citations': '1', 'Highly Influential Citations': '1'}, {'Publications': '185', 'h-index': '26', 'Citations': '2,877', 'Highly Influential Citations': '421'}]"
PSTNet: Point Spatio-Temporal Convolution on Point Cloud Sequences,"['https://www.semanticscholar.org/author/Hehe-Fan/3446334', 'https://www.semanticscholar.org/author/M.-Kankanhalli/1744045']","[{'Publications': '20', 'h-index': '10', 'Citations': '567', 'Highly Influential Citations': '100'}, {'Publications': '465', 'h-index': '52', 'Citations': '11,484', 'Highly Influential Citations': '569'}]"
Self-supervised Representation Learning with Relative Predictive Coding,"['https://www.semanticscholar.org/author/Han-Zhao/1390716752', 'https://www.semanticscholar.org/author/Yao-Hung-Hubert-Tsai/145639633', 'https://www.semanticscholar.org/author/R.-Salakhutdinov/145124475', 'https://www.semanticscholar.org/author/Martin-Q.-Ma/1384374825', 'https://www.semanticscholar.org/author/Louis-Philippe-Morency/49933077', 'https://www.semanticscholar.org/author/Mu-Heng-Yang/8724126']","[{'Publications': '32', 'h-index': '7', 'Citations': '213', 'Highly Influential Citations': '19'}, {'Publications': '92', 'h-index': '17', 'Citations': '1,062', 'Highly Influential Citations': '156'}, {'Publications': '288', 'h-index': '90', 'Citations': '93,021', 'Highly Influential Citations': '9,990'}, {'Publications': '6', 'h-index': '2', 'Citations': '13', 'Highly Influential Citations': '4'}, {'Publications': '367', 'h-index': '66', 'Citations': '14,992', 'Highly Influential Citations': '1,668'}, {'Publications': '3', 'h-index': '1', 'Citations': '4', 'Highly Influential Citations': '0'}]"
Generalization bounds via distillation,"['https://www.semanticscholar.org/author/Ziwei-Ji/3391272', 'https://www.semanticscholar.org/author/Daniel-Hsu/143724862', 'https://www.semanticscholar.org/author/Matus-Telgarsky/1750943', 'https://www.semanticscholar.org/author/Landi-Wang/2108759939']","[{'Publications': '7', 'h-index': '3', 'Citations': '22', 'Highly Influential Citations': '1'}, {'Publications': '27', 'h-index': '4', 'Citations': '80', 'Highly Influential Citations': '2'}, {'Publications': '48', 'h-index': '16', 'Citations': '2,857', 'Highly Influential Citations': '428'}, {'Publications': '2', 'h-index': '1', 'Citations': '4', 'Highly Influential Citations': '0'}]"
Deep Networks and the Multiple Manifold Problem,"['https://www.semanticscholar.org/author/John-Wright/143607492', 'https://www.semanticscholar.org/author/Dar-Gilboa/32994625', 'https://www.semanticscholar.org/author/Sam-Buchanan/144131248']","[{'Publications': '91', 'h-index': '43', 'Citations': '30,487', 'Highly Influential Citations': '4,166'}, {'Publications': '13', 'h-index': '4', 'Citations': '97', 'Highly Influential Citations': '9'}, {'Publications': '4', 'h-index': '2', 'Citations': '31', 'Highly Influential Citations': '3'}]"
Deep symbolic regression: Recovering mathematical expressions from data via risk-seeking policy gradients,['https://www.semanticscholar.org/author/Brenden-K.-Petersen/1814142'],"[{'Publications': '22', 'h-index': '8', 'Citations': '139', 'Highly Influential Citations': '8'}]"
Evaluations and Methods for Explanation through Robustness Analysis,"['https://www.semanticscholar.org/author/Cho-Jui-Hsieh/1793529', 'https://www.semanticscholar.org/author/Chih-Kuan-Yeh/3438923', 'https://www.semanticscholar.org/author/Cheng-Yu-Hsieh/2650640']","[{'Publications': '229', 'h-index': '48', 'Citations': '17,713', 'Highly Influential Citations': '2,293'}, {'Publications': '18', 'h-index': '10', 'Citations': '558', 'Highly Influential Citations': '84'}, {'Publications': '8', 'h-index': '5', 'Citations': '113', 'Highly Influential Citations': '11'}]"
FedBN: Federated Learning on Non-IID Features via Local Batch Normalization,"['https://www.semanticscholar.org/author/Xiaofei-Zhang/2108168094', 'https://www.semanticscholar.org/author/Meirui-Jiang/2050138741', 'https://www.semanticscholar.org/author/Q.-Dou/35647880', 'https://www.semanticscholar.org/author/Michael-Kamp/2065698865', 'https://www.semanticscholar.org/author/Xiaoxiao-Li/2108536754']","[{'Publications': '1', 'h-index': '1', 'Citations': '10', 'Highly Influential Citations': '4'}, {'Publications': '2', 'h-index': '2', 'Citations': '15', 'Highly Influential Citations': '4'}, {'Publications': '103', 'h-index': '35', 'Citations': '6,938', 'Highly Influential Citations': '503'}, {'Publications': '10', 'h-index': '2', 'Citations': '17', 'Highly Influential Citations': '6'}, {'Publications': '26', 'h-index': '11', 'Citations': '1,842', 'Highly Influential Citations': '207'}]"
Tomographic Auto-Encoder: Unsupervised Bayesian Recovery of Corrupted Data,"['https://www.semanticscholar.org/author/F.-Tonolini/51078463', 'https://www.semanticscholar.org/author/A.-Damianou/3106771', 'https://www.semanticscholar.org/author/Roderick-Murray-Smith/1452854346', 'https://www.semanticscholar.org/author/Pablo-G.-Moreno/144840899']","[{'Publications': '70', 'h-index': '14', 'Citations': '561', 'Highly Influential Citations': '13'}, {'Publications': '48', 'h-index': '20', 'Citations': '1,867', 'Highly Influential Citations': '263'}, {'Publications': '19', 'h-index': '6', 'Citations': '351', 'Highly Influential Citations': '15'}, {'Publications': '11', 'h-index': '3', 'Citations': '108', 'Highly Influential Citations': '14'}]"
X2T: Training an X-to-Text Typing Interface with Online Learning from User Feedback,"['https://www.semanticscholar.org/author/Nicholas-Hardy/2114822800', 'https://www.semanticscholar.org/author/Jensen-Gao/2110482632', 'https://www.semanticscholar.org/author/S.-Reddy/37372079', 'https://www.semanticscholar.org/author/Sergey-Levine/1736651', 'https://www.semanticscholar.org/author/K.-Ganguly/2036235', 'https://www.semanticscholar.org/author/A.-Dragan/2745001', 'https://www.semanticscholar.org/author/N.-Natraj/3162672', 'https://www.semanticscholar.org/author/G.-Berseth/2994035']","[{'Publications': '1', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '2', 'h-index': '0', 'Citations': '0', 'Highly Influential Citations': '0'}, {'Publications': '20', 'h-index': '9', 'Citations': '298', 'Highly Influential Citations': '24'}, {'Publications': '422', 'h-index': '96', 'Citations': '42,291', 'Highly Influential Citations': '5,519'}, {'Publications': '67', 'h-index': '23', 'Citations': '3,216', 'Highly Influential Citations': '207'}, {'Publications': '143', 'h-index': '40', 'Citations': '5,247', 'Highly Influential Citations': '381'}, {'Publications': '11', 'h-index': '5', 'Citations': '165', 'Highly Influential Citations': '8'}, {'Publications': '52', 'h-index': '12', 'Citations': '929', 'Highly Influential Citations': '34'}]"
