Variational Recurrent Adversarial Deep Domain Adaptation,"['https://www.semanticscholar.org/author/Y.-Liu/47909587', 'https://www.semanticscholar.org/author/Wilka-Carvalho/51913868', 'https://www.semanticscholar.org/author/Tanachat-Nilanon/9736486', 'https://www.semanticscholar.org/author/S.-Purushotham/144735626']","[{'Publications': '582', 'h-index': '42', 'Citations': '9,306', 'Highly Influential Citations': '765'}, {'Publications': '6', 'h-index': '3', 'Citations': '252', 'Highly Influential Citations': '38'}, {'Publications': '9', 'h-index': '4', 'Citations': '152', 'Highly Influential Citations': '14'}, {'Publications': '42', 'h-index': '17', 'Citations': '1,806', 'Highly Influential Citations': '199'}]"
Data Noising as Smoothing in Neural Network Language Models,"['https://www.semanticscholar.org/author/Sida-I.-Wang/8729431', 'https://www.semanticscholar.org/author/Ziang-Xie/2114110885', 'https://www.semanticscholar.org/author/A.-Ng/34699434']","[{'Publications': '19', 'h-index': '14', 'Citations': '2,483', 'Highly Influential Citations': '222'}, {'Publications': '7', 'h-index': '6', 'Citations': '533', 'Highly Influential Citations': '62'}, {'Publications': '295', 'h-index': '118', 'Citations': '128,640', 'Highly Influential Citations': '15,606'}]"
Deep Probabilistic Programming,"['https://www.semanticscholar.org/author/K.-Murphy/1702318', 'https://www.semanticscholar.org/author/M.-Hoffman/28552618', 'https://www.semanticscholar.org/author/Dustin-Tran/47497262', 'https://www.semanticscholar.org/author/R.-Saurous/2278009', 'https://www.semanticscholar.org/author/David-M.-Blei/1796335', 'https://www.semanticscholar.org/author/E.-Brevdo/2445241']","[{'Publications': '71', 'h-index': '47', 'Citations': '23,649', 'Highly Influential Citations': '3,212'}, {'Publications': '96', 'h-index': '35', 'Citations': '12,520', 'Highly Influential Citations': '1,700'}, {'Publications': '57', 'h-index': '27', 'Citations': '3,120', 'Highly Influential Citations': '316'}, {'Publications': '34', 'h-index': '19', 'Citations': '4,590', 'Highly Influential Citations': '766'}, {'Publications': '318', 'h-index': '88', 'Citations': '75,078', 'Highly Influential Citations': '11,132'}, {'Publications': '27', 'h-index': '11', 'Citations': '10,003', 'Highly Influential Citations': '1,081'}]"
Hierarchical Multiscale Recurrent Neural Networks,"['https://www.semanticscholar.org/author/J.-Chung/8270717', 'https://www.semanticscholar.org/author/Yoshua-Bengio/1751762', 'https://www.semanticscholar.org/author/Sungjin-Ahn/3103594']","[{'Publications': '17', 'h-index': '9', 'Citations': '9,269', 'Highly Influential Citations': '1,461'}, {'Publications': '821', 'h-index': '173', 'Citations': '302,094', 'Highly Influential Citations': '33,378'}, {'Publications': '43', 'h-index': '17', 'Citations': '2,006', 'Highly Influential Citations': '232'}]"
Programming With a Differentiable Forth Interpreter,"['https://www.semanticscholar.org/author/Tim-Rockt%C3%A4schel/2620211', 'https://www.semanticscholar.org/author/Matko-Bosnjak/2709802', 'https://www.semanticscholar.org/author/S.-Riedel/145941665', 'https://www.semanticscholar.org/author/Jason-Naradowsky/2300343']","[{'Publications': '61', 'h-index': '29', 'Citations': '3,844', 'Highly Influential Citations': '512'}, {'Publications': '26', 'h-index': '12', 'Citations': '4,900', 'Highly Influential Citations': '622'}, {'Publications': '152', 'h-index': '44', 'Citations': '9,495', 'Highly Influential Citations': '1,611'}, {'Publications': '26', 'h-index': '13', 'Citations': '1,213', 'Highly Influential Citations': '162'}]"
Normalizing the Normalizers: Comparing and Extending Network Normalization Schemes,"['https://www.semanticscholar.org/author/Fabian-H-Sinz/50095217', 'https://www.semanticscholar.org/author/R.-Zemel/1804104', 'https://www.semanticscholar.org/author/Renjie-Liao/2246396', 'https://www.semanticscholar.org/author/R.-Urtasun/2422559', 'https://www.semanticscholar.org/author/Mengye-Ren/2540599']","[{'Publications': '59', 'h-index': '20', 'Citations': '2,660', 'Highly Influential Citations': '279'}, {'Publications': '228', 'h-index': '61', 'Citations': '32,022', 'Highly Influential Citations': '3,602'}, {'Publications': '59', 'h-index': '27', 'Citations': '2,701', 'Highly Influential Citations': '344'}, {'Publications': '348', 'h-index': '86', 'Citations': '36,693', 'Highly Influential Citations': '4,807'}, {'Publications': '36', 'h-index': '17', 'Citations': '2,692', 'Highly Influential Citations': '372'}]"
Learning through Dialogue Interactions by Asking Questions,"['https://www.semanticscholar.org/author/S.-Chopra/3295092', ""https://www.semanticscholar.org/author/Marc'Aurelio-Ranzato/1706809"", 'https://www.semanticscholar.org/author/J.-Weston/145183709', 'https://www.semanticscholar.org/author/Alexander-H.-Miller/143622869', 'https://www.semanticscholar.org/author/Jiwei-Li/49298465']","[{'Publications': '78', 'h-index': '26', 'Citations': '15,678', 'Highly Influential Citations': '1,509'}, {'Publications': '97', 'h-index': '50', 'Citations': '27,452', 'Highly Influential Citations': '2,796'}, {'Publications': '241', 'h-index': '86', 'Citations': '63,851', 'Highly Influential Citations': '7,299'}, {'Publications': '20', 'h-index': '13', 'Citations': '1,737', 'Highly Influential Citations': '232'}, {'Publications': '95', 'h-index': '33', 'Citations': '7,997', 'Highly Influential Citations': '1,199'}]"
Third Person Imitation Learning,"['https://www.semanticscholar.org/author/Bradly-C.-Stadie/3275284', 'https://www.semanticscholar.org/author/Ilya-Sutskever/1701686', 'https://www.semanticscholar.org/author/P.-Abbeel/1689992']","[{'Publications': '19', 'h-index': '9', 'Citations': '1,104', 'Highly Influential Citations': '75'}, {'Publications': '93', 'h-index': '60', 'Citations': '188,972', 'Highly Influential Citations': '22,699'}, {'Publications': '492', 'h-index': '113', 'Citations': '57,292', 'Highly Influential Citations': '7,148'}]"
The Concrete Distribution: A Continuous Relaxation of Discrete Random Variables,"['https://www.semanticscholar.org/author/Chris-J.-Maddison/2772217', 'https://www.semanticscholar.org/author/Y.-Teh/1725303', 'https://www.semanticscholar.org/author/A.-Mnih/1714004']","[{'Publications': '35', 'h-index': '16', 'Citations': '12,240', 'Highly Influential Citations': '777'}, {'Publications': '277', 'h-index': '62', 'Citations': '32,159', 'Highly Influential Citations': '3,851'}, {'Publications': '40', 'h-index': '22', 'Citations': '12,946', 'Highly Influential Citations': '1,885'}]"
Pruning Convolutional Neural Networks for Resource Efficient Inference,"['https://www.semanticscholar.org/author/Tero-Karras/2976930', 'https://www.semanticscholar.org/author/Timo-Aila/1761103', 'https://www.semanticscholar.org/author/Stephen-Tyree/2342481', 'https://www.semanticscholar.org/author/Pavlo-Molchanov/2824500', 'https://www.semanticscholar.org/author/J.-Kautz/1690538']","[{'Publications': '44', 'h-index': '25', 'Citations': '9,701', 'Highly Influential Citations': '1,909'}, {'Publications': '68', 'h-index': '35', 'Citations': '11,843', 'Highly Influential Citations': '2,118'}, {'Publications': '31', 'h-index': '19', 'Citations': '3,616', 'Highly Influential Citations': '369'}, {'Publications': '38', 'h-index': '19', 'Citations': '3,021', 'Highly Influential Citations': '335'}, {'Publications': '338', 'h-index': '69', 'Citations': '22,878', 'Highly Influential Citations': '2,903'}]"
