,paper,schools,regions,COO
2059,Featurized Bidirectional GAN: Adversarial Defense via Adversarially Learned Semantic Inference,Princeton University;Princeton University;Princeton University,usa,usa
2060,ATTACK GRAPH CONVOLUTIONAL NETWORKS BY ADDING FAKE NODES,"University of California, Davis;NVIDIA;University of California, Davis;University of California, Davis",usa,usa
2061,Stochastic Quantized Activation: To prevent Overfitting in Fast Adversarial Training,Korea Advanced Institute of Science and Technology;Korea Advanced Institute of Science and Technology;Korea Advanced Institute of Science and Technology,NAN,NAN
2062,BlackMarks: Black-box Multi-bit Watermarking for Deep Neural Networks,"University of California, San Diego;University of California, San Diego;University of California, San Diego",usa,usa
2063,Purchase as Reward : Session-based  Recommendation by Imagination Reconstruction,Zhejiang University;Zhejiang University,asia,cn
2064,Optimal Attacks against Multiple Classifiers,University of California Berkeley;Harvard University,usa,usa
2065,Label Propagation Networks,Harvard University;Harvard University;Tel Aviv University,europe,il
2066,Prob2Vec: Mathematical Semantic Embedding for Problem Retrieval in Adaptive Tutoring,"University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign;",asia,in
2067,Visualizing and Understanding the Semantics of Embedding Spaces via Algebraic Formulae,Uber;Uber;,asia,in
2068,Cross-Entropy Loss Leads To Poor Margins,University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
2069,A Case for Object Compositionality in Deep Generative Models of Images,IDSIA;Google;Google,NAN,NAN
2070,Object-Oriented Model Learning through Multi-Level Abstraction,";Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University",NAN,NAN
2071,IB-GAN: Disentangled Representation Learning with Information Bottleneck GAN,Seoul National University;;Seoul National University,asia,kr
2072,ACE: Artificial Checkerboard Enhancer to Induce and Evade Adversarial Attacks,University of Chicago;Seoul National University;NAVER;NAVER;NAVER;NAVER;NAVER,europe,gr
2073,Second-Order Adversarial Attack and Certifiable Robustness,"Duke University;State University of New York, Buffalo;Duke University;Duke University",europe,se
2074,Learning Heuristics for Automated Reasoning through Reinforcement Learning,University of California Berkeley;Google;University of California Berkeley;University of California Berkeley,usa,usa
2075,Strength in Numbers: Trading-off Robustness and Computation via Adversarially-Trained Ensembles,Google;Google;Google;Google;Google;Google,NAN,NAN
2076,Explaining Adversarial Examples with Knowledge Representation,Vanderbilt University;Vanderbilt University;Vanderbilt University,usa,usa
2077,Cutting Down Training Memory by Re-fowarding,Carnegie Mellon University;Carnegie Mellon University,usa,usa
2078,Neural Networks with Structural Resistance to Adversarial Attacks,University of Southern California,usa,usa
2079,Controlling Over-generalization and its Effect on Adversarial Examples Detection and Generation,Laval university;Oregon State University;Laval university;Oregon State University;Laval university,NAN,NAN
2080,Robust Determinantal Generative Classifier for Noisy Labels and Adversarial Attacks,Korea Advanced Institute of Science and Technology;Korea Advanced Institute of Science and Technology;University of Michigan;University of Michigan;University of California Berkeley;Korea Advanced Institute of Science and Technology,NAN,NAN
2081,Single Shot Neural Architecture Search Via Direct Sparse Optimization,"Institute of automation, Chinese academy of science, Chinese Academy of Sciences;;",asia,in
2082,How Training Data Affect the Accuracy and Robustness of Neural Networks for Image Classification,"University of California, Davis;Carnegie Mellon University;Visa Research;Swiss Federal Institute of Technology",NAN,NAN
2083,EFFICIENT TWO-STEP ADVERSARIAL DEFENSE FOR DEEP NEURAL NETWORKS,Texas A&M;Texas A&M;Texas A&M,NAN,NAN
2084,Adaptive Neural Trees,University College London;Imperial College London;University College London;Microsoft;Microsoft,NAN,NAN
2085,Graph Convolutional Network with Sequential Attention For Goal-Oriented Dialogue Systems,Indian Institute of Technology Madras;Indian Institute of Technology Madras,NAN,NAN
2086,Probabilistic Neural-Symbolic Models for Interpretable Visual Question Answering,Georgia Institute of Technology;Georgia Institute of Technology;Facebook;Georgia Institute of Technology;Georgia Institute of Technology,usa,usa
2087,Neural separation of observed and unobserved distributions,;Google;Facebook,NAN,NAN
2088,BNN+: Improved Binary Network Training,"University of California, Los Angeles;University of Montreal;;Huawei Technologies Ltd.",NAN,NAN
2089,Dynamic Early Terminating of Multiply Accumulate Operations for Saving Computation Cost in Convolutional Neural Networks,;National Tsing Hua University;;National Tsing Hua University,asia,tw
2090,SEGEN: SAMPLE-ENSEMBLE GENETIC EVOLUTIONARY NETWORK MODEL,SUN YAT-SEN UNIVERSITY;Pennsylvania State University;,asia,in
2091,Local Binary Pattern Networks for Character Recognition,"University of California, San Diego;University of California, San Diego;University of California, San Diego;University of California, San Diego",usa,usa
2092,A  Model Cortical Network for Spatiotemporal Sequence Learning and Prediction,;;Carnegie Mellon University,usa,usa
