,paper,schools,regions,COO
1871,Dynamic Sparse Graph for Efficient Deep Learning,"UC Santa Barbara;UC Santa Barbara;UC Santa Barbara;UC Santa Barbara;Tsinghua University, Tsinghua University;UC Santa Barbara;UC Santa Barbara",NAN,NAN
1872,Learning Recurrent Binary/Ternary Weights,McGill University;McGill University;McGill University;McGill University;McGill University,canada,ca
1873,Probabilistic Recursive Reasoning for Multi-Agent Reinforcement Learning,University College London;University College London;University College London;University College London;Delft University of Technology,NAN,NAN
1874,"Slalom: Fast, Verifiable and Private Execution of Neural Networks in Trusted Hardware",Stanford University;Stanford University,usa,usa
1875,"A comprehensive, application-oriented study of catastrophic forgetting in DNNs",University of Applied Sciences Fulda;University of Applied Sciences Fulda,NAN,NAN
1876,Stable Recurrent Models,University of California Berkeley;University of California Berkeley,usa,usa
1877,Large Scale Graph Learning From Smooth Signals,;Swiss Federal Institute of Technology,NAN,NAN
1878,Accumulation Bit-Width Scaling For Ultra-Low Precision Training Of Deep Networks,"University of Illinois, Urbana Champaign;International Business Machines;International Business Machines;International Business Machines;International Business Machines;University of Illinois, Urbana Champaign;International Business Machines",NAN,NAN
1879,Learning to Remember More with Less Memorization,Deakin University;Deakin University;Deakin University,asia,cn
1880,Bayesian Prediction of Future Street Scenes using Synthetic Likelihoods,Max-Planck Institute;Max-Planck Institute;Max-Planck Institute,NAN,NAN
1881,Label super-resolution networks,"Mila;Georgia Institute of Technology;State University of New York, Stony Brook;;;State University of New York, Stony Brook;Renaissance School of Medicine at Stony Brook University;Microsoft;Microsoft",NAN,NAN
1882,Variational Smoothing in Recurrent Neural Network Language Models,Carnegie Mellon University;Google;Google;Google;Google,NAN,NAN
1883,Hierarchical interpretations for neural network predictions,University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
1884,h-detach: Modifying the LSTM Gradient Towards Better Optimization,;SalesForce.com;;;University of Montreal;University of Montreal,canada,ca
1885,Neural Probabilistic Motor Primitives for Humanoid Control,Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
1886,Hierarchical Visuomotor Control of Humanoids,Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
1887,Adversarial Domain Adaptation for Stable Brain-Machine Interfaces,Northwestern University;Northwestern University;Stanford University;University of Montreal;Northwestern University;Northwestern University,usa,usa
1888,Emerging Disentanglement in Auto-Encoder Based Unsupervised Image Content Transfer,Tel Aviv University;;Tel Aviv University;Facebook,NAN,NAN
1889,Global-to-local Memory Pointer Networks for Task-Oriented Dialogue,The Hong Kong University of Science and Technology;SalesForce.com;SalesForce.com,NAN,NAN
1890,"Improving Differentiable Neural Computers Through Memory Masking, De-allocation, and Link Distribution Sharpness Control",IDSIA;IDSIA,asia,in
1891,Learning Representations of Sets through Optimized Permutations,University of Southampton;University of Southampton;University of Southampton,europe,uk
1892,Kernel Change-point Detection with Auxiliary Deep Generative Models,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University,usa,usa
1893,Unsupervised Domain Adaptation for Distance Metric Learning,Google;;NEC-Labs;NEC-Labs,NAN,NAN
1894,Feature Intertwiner for Object Detection,The Chinese University of Hong Kong;The Chinese University of Hong Kong;The Chinese University of Hong Kong;University of Sydney;The Chinese University of Hong Kong,NAN,NAN
1895,On the Universal Approximability and Complexity Bounds of Quantized ReLU Neural Networks,University of Notre Dame;University of Notre Dame;International Business Machines;University of Notre Dame,usa,usa
1896,SNAS: stochastic neural architecture search,SenseTime Group Limited;SenseTime Group Limited;SenseTime Group Limited;,asia,in
1897,LayoutGAN: Generating Graphic Layouts with Wireframe Discriminators,National University of Singapore;Adobe Systems;Adobe Systems;Adobe Systems;Beijing Institute of Technology,NAN,NAN
1898,"Don't Settle for Average, Go for the Max: Fuzzy Sets and Max-Pooled Word Vectors",babylon health;babylon health;babylon health;babylon health;babylon health;babylon health,NAN,NAN
1899,ADef: an Iterative Algorithm to Construct Adversarial Deformations,Swiss Federal Institute of Technology;Università degli Studi di Genova;Swiss Federal Institute of Technology,NAN,NAN
1900,On the Turing Completeness of Modern Neural Network Architectures,Universidad de Chile;;Universidad de Chile,southamerica,cl
1901,Spherical CNNs on Unstructured Grids,University of California Berkeley;Stanford University;Lawrence Berkeley National Lab;Lawrence Berkeley National Lab;University of California Berkeley;Technical University Munich,NAN,NAN
1902,Convolutional Neural Networks on Non-uniform Geometrical Signals Using Euclidean Spectral Transformation,University of California Berkeley;University of California Berkeley;Stanford University;University of California Berkeley;Technical University Munich,NAN,NAN
1903,Graph Wavelet Neural Network,"Institute of Computing Technology, Chinese Academy of Sciences;Institute of Computing Technology, Chinese Academy of Sciences;Institute of Computing Technology, Chinese Academy of Sciences;Institute of Computing Technology, Chinese Academy of Sciences;Institute of Computing Technology, Chinese Academy of Sciences",NAN,NAN
1904,"A Closer Look at Deep Learning Heuristics: Learning rate restarts, Warmup and Distillation",Swiss Federal Institute of Technology Lausanne;SalesForce.com;SalesForce.com;SalesForce.com,NAN,NAN
1905,Revealing interpretable object representations from human behavior,National Institutes of Health;National Institutes of Health;National Institutes of Health;National Institutes of Health,NAN,NAN
1906,Near-Optimal Representation Learning for Hierarchical Reinforcement Learning,Google;Google;Google;University of California Berkeley,usa,usa
1907,Quaternion Recurrent Neural Networks,Avignon University;University of Montreal;Avignon University;Avignon University;Polytechnique Montreal;McGill University;Mila,NAN,NAN
1908,Efficient Lifelong Learning with A-GEM,University of Oxford;Facebook;Facebook;Facebook,NAN,NAN
1909,Quasi-hyperbolic momentum and Adam for deep learning,Facebook;Facebook,NAN,NAN
1910,AdaShift: Decorrelation and Convergence of Adaptive Learning Rate Methods,Shanghai Jiao Tong University;Shanghai Jiao Tong University;Shanghai Jiao Tong University;Stanford University;Shanghai Jiao Tong University;Shanghai Jiao Tong University,asia,cn
1911,Diversity is All You Need: Learning Skills without a Reward Function,Carnegie Mellon University;University of California Berkeley;Google;University of California Berkeley,usa,usa
1912,MAE: Mutual Posterior-Divergence Regularization for Variational AutoEncoders,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University,usa,usa
1913,Learning a SAT Solver from Single-Bit Supervision,Stanford University;Stanford University;Stanford University;Stanford University;Microsoft;Stanford University,usa,usa
1914, Reasoning About Physical Interactions with Object-Oriented Prediction and Planning,University of California Berkeley;University of California Berkeley;Massachusetts Institute of Technology;Massachusetts Institute of Technology;University of California Berkeley;Massachusetts Institute of Technology,usa,usa
1915, The relativistic discriminator: a key element missing from standard GAN,McGill University,canada,ca
1916,SOM-VAE: Interpretable Discrete Representation Learning on Time Series,Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Google;Swiss Federal Institute of Technology,NAN,NAN
1917,The Limitations of Adversarial Training and the Blind-Spot Attack,"Carnegie Mellon University;Massachusetts Institute of Technology;University of Texas, Austin;Massachusetts Institute of Technology;University of Texas, Austin;University of California, Los Angeles",usa,usa
1918,Generating Multiple Objects at Spatially Distinct Locations,University of Hamburg;University of Hamburg;University of Hamburg,europe,de
1919,Multi-class classification without multi-class labels,Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology,usa,usa
1920,Optimal Completion Distillation for Sequence Learning,Google;Google;Google,NAN,NAN
1921,Graph HyperNetworks for Neural Architecture Search,University of Waterloo;University of Toronto;University of Toronto,canada,ca
1922,GO Gradient for Expectation-Based Objectives,Duke University;Duke University;Duke University;Duke University,europe,se
1923,InstaGAN: Instance-aware Image-to-Image Translation,Korea Advanced Institute of Science and Technology;POSTECH;Korea Advanced Institute of Science and Technology,NAN,NAN
1924,DialogWAE: Multimodal Response Generation with Conditional Wasserstein Auto-Encoder,126;New York University;NAVER;The Hong Kong University of Science and Technology,NAN,NAN
1925,Supervised Policy Update for Deep Reinforcement Learning,;New York University;New York University,usa,usa
1926,Unsupervised Learning of the Set of Local Maxima,Facebook;Tel Aviv University;,asia,in
1927,Per-Tensor Fixed-Point Quantization of the Back-Propagation Algorithm,"University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign",usa,usa
1928,Generalized Tensor Models for Recurrent Neural Networks,Yandex;Skolkovo Institute of Science and Technology;Skolkovo Institute of Science and Technology,europe,russia
1929,Towards Metamerism via Foveated Style Transfer,UC Santa Barbara;UC Santa Barbara;UC Santa Barbara,NAN,NAN
1930,Learning To Solve Circuit-SAT: An Unsupervised Differentiable Approach,;Microsoft;Microsoft,NAN,NAN
1931,Deep Convolutional Networks as shallow Gaussian Processes,University of Cambridge;University of Cambridge;University of Bristol,europe,uk
1932,"Variational Discriminator Bottleneck: Improving Imitation Learning, Inverse RL, and GANs by Constraining Information Flow",University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
1933,Hierarchical Generative Modeling for Controllable Speech Synthesis,Massachusetts Institute of Technology;Google;Google;Google;Google;ByteDance;Google;Google;Google;Google;Google;Google,NAN,NAN
1934,Doubly Reparameterized Gradient Estimators for Monte Carlo Objectives,Google;New York University;Google;Google,NAN,NAN
1935,Reward Constrained Policy Optimization,"Technion, Technion;Google;Technion, Technion",NAN,NAN
1936,Coarse-grain Fine-grain Coattention Network for Multi-evidence Question Answering,University of Washington;SalesForce.com;SalesForce.com;SalesForce.com,NAN,NAN
1937,Preconditioner on Matrix Lie Group for SGD,,NAN,NAN
1938,LeMoNADe: Learned Motif and Neuronal Assembly Detection in calcium imaging videos,Heidelberg University;Heidelberg University;Heidelberg University;Max-Planck Institute;Heidelberg University;Heidelberg University;Heidelberg University;Central Institute of Mental Health;Heidelberg University,europe,de
1939,On the loss landscape of a class of deep neural networks with no bad local valleys,Saarland University;Saarland University;University of Tuebingen,europe,de
1940,DHER: Hindsight Experience Replay for Dynamic Goals,Eindhoven University of Technology;;;International Computer Science Institute;University of Southern California;Google,NAN,NAN
1941,SPIGAN: Privileged Adversarial Learning from Simulation,Toyota Research Institute;Intel;Toyota Research Institute;Toyota Research Institute,NAN,NAN
1942,Augmented Cyclic Adversarial Learning for Low Resource Domain Adaptation,SalesForce.com;SalesForce.com;SalesForce.com;SalesForce.com,NAN,NAN
1943,GamePad: A Learning Environment for Theorem Proving,University of California Berkeley;OpenAI;University of California Berkeley;OpenAI,NAN,NAN
1944,Deep Graph Infomax,University of Cambridge;;Stanford University;University of Cambridge;University of Montreal;Microsoft,NAN,NAN
1945,Fluctuation-dissipation relations for stochastic gradient descent,Facebook,NAN,NAN
1946,A Kernel Random Matrix-Based Approach for Sparse PCA,Ecole polytechnique;CEA;,asia,in
