institution,ranking
Université Saint-Joseph de Beyrouth,932
University of Murcia,932
Lahore University of Management Sciences,932
Kuwait University,932
Chonnam National University,932
Xiangtan University,937
Sapporo Medical University,937
National Chengchi University,937
Federico Santa María Technical University,937
Embry-Riddle Aeronautical University,937
Pondicherry University,942
Okayama University,942
National University of Sciences and Technology,942
China Pharmaceutical University,942
University of Patras,946
NorthWest A&F University,946
University of Mazandaran,948
Indian Institute of Technology (Indian School of Mines) Dhanbad,948
University of La Frontera,948
Bauman Moscow State Technical University,948
University of Trás-os-Montes and Alto Douro,952
Jilin University,952
Hanoi University of Science and Technology,952
Beijing Jiaotong University,952
St Marianna University School of Medicine,956
National Taipei University of Technology,956
Czech Technical University in Prague,956
Northwest University,959
Muroran Institute of Technology,959
University of Jaén,959
Tshwane University of Technology,962
Shanghai Maritime University,962
University of Malaga,962
Universiti Utara Malaysia,965
Tallinn University of Technology,965
Jeonbuk National University,965
University of A Coruña,968
Pontifical Catholic University of Peru,969
University of Alicante,969
University of Maribor,971
University of Seoul,972
University of Latvia,972
Jiangsu University,972
Ferdowsi University of Mashhad,972
Aichi Medical University,972
University of Derby,977
Yangzhou University,978
Tanta University,978
Sultan Qaboos University,978
Karabük University,978
University of Ghana,978
University of Debrecen,978
Tokyo University of Agriculture and Technology,984
Osaka City University,984
Gdańsk University of Technology,984
"University of Agriculture, Faisalabad",984
"Adam Mickiewicz University, Poznań",984
University of the Punjab,989
University of Isfahan,989
Tezpur University,991
Indian Institute of Technology Patna,991
Indian Institute of Science Education and Research Kolkata,991
Hamamatsu University School of Medicine,991
Atılım University,991
Ain Shams University,991
Tokyo University of Science,997
Kumamoto University,997
University of Castilla-La Mancha,997
Acharya Nagarjuna University,997
Zhejiang University of Technology,1001
Vilnius Gediminas Technical University,1001
Nagoya City University,1001
Nagasaki University,1001
University of Fortaleza (UNIFOR),1001
Southern Medical University,1006
Shinshu University,1006
Kyushu Institute of Technology (Kyutech),1006
Comenius University in Bratislava,1006
Al-Farabi Kazakh National University,1006
Semnan University,1011
Samara University,1011
Robert Gordon University,1011
Oakland University,1011
South Valley University,1015
Delhi Technological University,1015
"California State University, Long Beach",1015
University of South Wales,1018
Riga Technical University,1018
University of Ostrava,1018
"University of Chemistry and Technology, Prague",1018
Brno University of Technology,1018
Industrial University of Santander (UIS),1023
Nanjing University of Aeronautics and Astronautics,1024
Edge Hill University,1024
University of Cergy-Pontoise,1024
Warsaw University of Technology,1027
Shiga University of Medical Science,1027
​Shahid Chamran University of Ahvaz,1027
Ocean University of China,1027
National University of Colombia,1027
Kagawa University,1027
Tokushima University,1033
King Mongkut’s University of Technology Thonburi,1033
Fayoum University,1033
Budapest University of Technology and Economics,1033
Bandung Institute of Technology (ITB),1033
Suranaree University of Technology,1038
Izmir Institute of Technology,1038
Alexandria University,1038
Sohag University,1041
University of Guilan,1041
University of Burgos,1041
Bu-Ali Sina University,1041
University of Talca,1045
University of South Africa,1045
Paris Nanterre University,1045
University of North Florida,1045
National University of San Martín,1045
Kharazmi University,1045
Texas State University,1051
University of Almería,1051
